Pick #,Round Pick #,Owner,Pick,Team,Pos.
1,1.01,Deven,David Johnson,ARI,RB
2,1.02,Shashaank/Manav,Leveon Bell,PIT,RB
3,1.03,Shray,Antonio Brown,PIT,WR
4,1.04,Mateen/Kruthik,Julio Jones,ATL,WR
5,1.05,Ani/Ashrit,Mike Evans,TB,WR
6,1.06,Aryan/Joel,LeSean McCoy,BUF,RB
7,1.07,Adrian,Odell Beckham Jr,NYG,WR
8,1.08,Liam,Devonta Freeman,ATL,RB
9,1.09,Rushil,Jordy Nelson,GB,WR
10,1.10,Davis/Nile,Melvin Gordon,LAC,RB
11,1.11,Krishna/Kruthik,Jordan Howard,CHI,RB
12,1.12,Sai,Demarco Murray,TEN,RB
13,2.01,Sai,AJ Green,CIN,WR
14,2.02,Krishna/Kruthik,TY Hilton,IND,WR
15,2.03,Davis/Nile,Michael Thomas,NO,WR
16,2.04,Rushil,Todd Gurley,LAR,RB
17,2.05,Liam,Jay Ajayi,MIA,RB
18,2.06,Adrian,C.J. Anderson,DEN,RB
19,2.07,Aryan/Joel,Dez Bryant,DAL,WR
20,2.08,Ani/Ashrit,Lamar Miller,HOU,RB
21,2.09,Mateen/Kruthik,Rob Gronkowski,NE,TE
22,2.10,Shray,Leonard Fournette,JAX,RB
23,2.11,Shashaank/Manav,Ezekiel Elliot,DAL,RB
24,2.12,Deven,Amari Cooper,OAK,WR
25,3.01,Deven,Marshawn Lynch,OAK,RB
26,3.02,Shashaank/Manav,Brandin Cooks,NE,WR
27,3.03,Shray,DeAndre Hopkins,HOU,WR
28,3.04,Mateen/Kruthik,Alshon Jefferey,PHI,WR
29,3.05,Ani/Ashrit,Doug Baldwin,SEA,WR
30,3.06,Aryan/Joel,Travis Kelce,KC,TE
31,3.07,Adrian,Terrelle Pryor Sr.,WAS,WR
32,3.08,Liam,Demaryius Thomas,DEN,WR
33,3.09,Rushil,Michael Crabtree,OAK,WR
34,3.10,Davis/Nile,Keenan Allen,LAC,WR
35,3.11,Krishna/Kruthik,Golden Tate,DET,WR
36,3.12,Sai,Greg Olsen,CAR,TE
37,4.01,Sai,Davante Adams,GB,WR
38,4.02,Krishna/Kruthik,Jimmy Graham,SEA,TE
39,4.03,Davis/Nile,Isaiah Crowell,CLE,RB
40,4.04,Rushil,Christian Mcaffrey,CAR,RB
41,4.05,Liam,Aaron Rodgers,GB,QB
42,4.06,Adrian,Ty Montgomery,GB,RB
43,4.07,Aryan/Joel,Mark Ingram,NO,RB
44,4.08,Ani/Ashrit,Adrian Peterson,NO,RB
45,4.09,Mateen/Kruthik,Carlos Hyde,SF,RB
46,4.10,Shray,Tom Brady,NE,QB
47,4.11,Shashaank/Manav,Allen Robinson,JAX,WR
48,4.12,Deven,Jordan Reed,WSH,TE
49,5.01,Deven,Joe MIxon,CIN,RB
50,5.02,Shashaank/Manav,Drew Brees,NO,QB
51,5.03,Shray,Dalvin Cook,MIN,RB
52,5.04,Mateen/Kruthik,Jarvis Landry,MIA,WR
53,5.05,Ani/Ashrit,Delanie Walker,TEN,TE
54,5.06,Aryan/Joel,Emmanuel Sanders,DEN,WR
55,5.07,Adrian,Kyle Rudolph,MIN,TE
56,5.08,Liam,Jamison Crowder,WAS,WR
57,5.09,Rushil,Julian Edeleman,NE,WR
58,5.10,Davis/Nile,Tyler Eifert,CIN,TE
59,5.11,Krishna/Kruthik,Bilal Powell,NYJ,RB
60,5.12,Sai,Frank Gore,IND,RB
61,6.01,Sai,Larry Fitzgerald,ARI,WR
62,6.02,Krishna/Kruthik,Tyreek Hill,KC,WR
63,6.03,Davis/Nile,Sammy Watkins,LAR,WR
64,6.04,Rushil,Derek Carr,OAK,QB
65,6.05,Liam,Martellus Bennett,GB,TE
