Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
1,1.01,Rohan,,Christian McCaffrey,CAR,RB
2,1.02,Kruthik/Rawad,,Saquon Barkley,NYG,RB
3,1.03,Shray,,Ezekiel Elliott,DAL,RB
4,1.04,Shashaank/Vib,,Derrick Henry,TEN,RB
5,1.05,Liam,Ani,Alvin Kamara,NO,RB
6,1.06,Mateen/Krishna,,Dalvin Cook,MIN,RB
7,1.07,Ani,Liam,Michael Thomas,NO,WR
8,1.08,Adrian/Rushil,,Clyde Edwards-Helaire,KC,RB
9,1.09,Deven/Insung,Joel/Aryan,Joe Mixon,CIN,RB
10,1.1,Joel/Aryan,Deven/Insung,Josh Jacobs,LV,RB
11,1.11,Manav/Brian,,Nick Chubb,CLE,RB
12,1.12,Sai/Jack,,Julio Jones,ATL,WR
13,2.01,Sai/Jack,,Davante Adams,GB,WR
14,2.02,Manav/Brian,,Tyreek Hill,KC,WR
15,2.03,Deven/Insung,,DeAndre Hopkins,ARI,WR
16,2.04,Liam,Joel/Aryan,Miles Sanders,PHI,RB
17,2.05,Adrian/Rushil,,Kenyan Drake,ARI,RB
18,2.06,Ani,Liam,Austin Ekeler,LAC,RB
19,2.07,Mateen/Krishna,,Kenny Golladay,DET,WR
20,2.08,Joel/Aryan,"Liam, Ani",George Kittle,SF,TE
21,2.09,Shashaank/Vib,,Aaron Jones,GB,RB
22,2.1,Shray,,Chris Godwin,TB,WR
23,2.11,Shray,Kruthik/Rawad,Chris Carson,SEA,RB
24,2.12,Rohan,,Travis Kelce,KC,TE
25,3.01,Rohan,,Leonard Fournette,JAX,RB
26,3.02,Kruthik/Rawad,,Mike Evans,TB,WR
27,3.03,Kruthik/Rawad,Shray,Todd Gurley II,ATL,RB
28,3.04,Shashaank/Vib,,Adam Thielen,MIN,WR
29,3.05,Ani,,David Johnson,HOU,RB
30,3.06,Liam,Mateen/Krishna,DJ Moore,CAR,WR
31,3.07,Adrian/Rushil,"Mateen/Krishna, Liam",Amari Cooper,DAL,WR
32,3.08,Mateen/Krishna,Adrian/Rushil,Odell Beckham Jr.,CLE,WR
33,3.09,Joel/Aryan,,JuJu Smith-Schuster,PIT,WR
34,3.1,Deven/Insung,,Le'Veon Bell,NYJ,RB
35,3.11,Kruthik/Rawad,Manav/Brian,Melvin Gordon,DEN,RB
36,3.12,Sai/Jack,,James Conner,PIT,RB
37,4.01,Sai/Jack,,Allen Robinson II,CHI,WR
38,4.02,Manav/Brian,,A.J. Brown,TEN,WR
39,4.03,Deven/Insung,,Lamar Jackson,BAL,QB
40,4.04,Joel/Aryan,,Jonathan Taylor,IND,RB
41,4.05,Mateen/Krishna,Adrian/Rushil,Calvin Ridley,ATL,WR
42,4.06,Liam,,DJ Chark Jr.,JAX,WR
43,4.07,Shashaank/Vib,"Adrian/Rushil, Mateen/Krishna",David Montgomery,CHI,RB
44,4.08,Ani,,Robert Woods,LAR,WR
45,4.09,Adrian/Rushil,Shashaank/Vib,Cooper Kupp,LAR,WR
46,4.1,Shray,,T.Y. Hilton,IND,WR
47,4.11,Manav/Brian,Kruthik/Rawad,Mark Ingram II,BAL,RB
48,4.12,Rohan,,Keenan Allen,LAC,WR
49,5.01,Rohan,,Tyler Lockett,SEA,WR
50,5.02,Shashaank/Vib,"Manav/Brian, Kruthik/Rawad",Courtland Sutton,DEN,WR
51,5.03,Shray,,Terry McLaurin,WAS,WR
