Pick #,Round Pick #,Owner,Pick,Team,Pos.
1,1.01,Liam,Saquon Barkley,NYG,RB
2,1.02,"Joel/Aryan (via Sai/Jack,via Manav/Brian)",Christian McCaffery,CAR,RB
3,1.03,Sai/Jack (via Joel/Aryan),Alvin Kamara,NO,RB
4,1.04,Adrian,Deandre Hopkins,HOU,WR
5,1.05,Rushil/Krishna,Davante Adams,GB,WR
6,1.06,Deven/Insung,David Johnson,ARI,RB
7,1.07,Mateen/Rohit (via Shashaank),Le'Veon Bell,NYJ,RB
8,1.08,Shray,Nick Chubb,CLE,RB
9,1.09,"Kruthik/Rawad (via Sai/Jack,via Shashaank,via Mateen/Rohit)",Julio Jones,ATL,WR
10,1.10,Ani,Travis Kelce,KC,TE
11,1.11,Sai/Jack (via Kruthik/Rawad),Ezekiel Elliott,DAL,RB
12,1.12,Shashaank (via Sai/Jack),Joe Mixon,CIN,RB
13,2.01,"Shashaank (via Sai/Jack,via Shray,via Manav/Brian,via Sai/Jack)",Tyreek Hill,KC,WR
14,2.02,"Manav/Brian (via Shray,via Kruthik/Rawad)",Todd Gurley,LAR,RB
15,2.03,"Mateen/Rohit (via Liam,via Ani)",Michael Thomas,NO,WR
16,2.04,Rushil/Krishna (via Mateen/Rohit),James Connor,PIT,RB
17,2.05,Kruthik/Rawad (via Shray),Odell Beckham Jr,CLE,WR
18,2.06,"Shray (via Sai/Jack,via Shashaank)",JuJu Smith-Schuster,PIT,WR
19,2.07,Deven/Insung,Dalvin Cook,MIN,RB
20,2.08,Rushil/Krishna,Mike Evans,TB,WR
21,2.09,Adrian,Damien Williams,KC,RB
22,2.10,Joel/Aryan,Amari Cooper,DAL,WR
23,2.11,Manav/Brian,Antonio Brown,OAK,WR
24,2.12,Ani (via Liam),Devonta Freeman,ATL,RB
25,3.01,Ani (via Liam),Leonard Fournette,JAX,RB
26,3.02,Manav/Brian,Adam Theilen,MIN,WR
27,3.03,Joel/Aryan,George Kittle,SF,TE
28,3.04,Adrian,Aaron Jones,GB,RB
29,3.05,Mateen/Rohit (via Rushil/Krishna),Keenan Allen,LAC,WR
30,3.06,Deven/Insung,Josh Jacobs,OAK,RB
31,3.07,Liam (via Shashaank),Chris Carson,SEA,RB
32,3.08,Shray,Kerryon Johnson,DET,RB
33,3.09,"Sai/Jack (via Shashaank,via Liam,via Mateen/Rohit)",Zach Ertz,PHI,TE
34,3.10,Liam (via Ani),David Montgomery,CHI,RB
35,3.11,Kruthik/Rawad,Derrick Henry,TEN,RB
36,3.12,Manav/Brian (via Sai/Jack),Sony Michel,NE,RB
37,4.01,Shashaank (via Sai/Jack),Julian Edelman,NE,WR
38,4.02,Kruthik/Rawad,Mark Ingram,BAL,RB
39,4.03,Ani,Stefon Diggs,MIN,WR
40,4.04,Liam (via Mateen/Rohit),Robert Woods,LAR,WR
41,4.05,Shray,Brandin Cooks,LAR,WR
42,4.06,Liam (via Shashaank),Cooper Kupp,LAR,WR
43,4.07,Deven/Insung,TY. Hilton,IND,WR
44,4.08,Mateen/Rohit (via Rushil/Krishna),Phillip Lindsay,DEN,RB
45,4.09,Adrian,Tyler Lockett,SEA,WR
46,4.10,Joel/Aryan,Marlon Mack,IND,RB
47,4.11,Manav/Brian,Patrick Mahomes,KC,QB
48,4.12,Shashaank (via Liam),Chris Godwin,TB,WR
49,5.01,Ani (via Liam),Kenny Golladay,DET,WR
50,5.02,Sai/Jack (via Manav/Brian),Calvin Ridley,ATL,WR
51,5.03,Liam (via Joel/Aryan),O. J. Howard,TB,TE
52,5.04,Adrian,Austin Ekeler,LAC,RB
53,5.05,Rushil/Krishna,Tevin Coleman,SF,RB
54,5.06,Deven/Insung,Tyler Boyd,CIN,WR
