Pick #,Round Pick #,Owner,Previous Owner(s),Pick,Team,Pos.
1,1.01,Vib/Pranav,,Justin Jefferson,MIN,WR
2,1.02,Shashaank/Rawad,Ani/Adrian,Ja'Marr Chase,CIN,WR
3,1.03,Joel/Aryan,Mateen,Christian McCaffrey,SF,RB
4,1.04,Ani/Adrian,Shashaank/Rawad,Travis Kelce,KC,TE
5,1.05,Shray,Manav/Brian,Bijan Robinson,ATL,RB
6,1.06,Deven/Krishna,Shray; Manav/Brian,Austin Ekeler,LAC,RB
7,1.07,Kruthik/Davis,,Cooper Kupp,LAR,WR
8,1.08,Manav/Brian,Deven/Krishna,Tyreek Hill,MIA,WR
9,1.09,Liam/Rushil,,Saquon Barkley,NYG,RB
10,1.1,Liam/Rushil,Rohan/Mani,Nick Chubb,CLE,RB
11,1.11,Joel/Aryan,,Stefon Diggs,BUF,WR
12,1.12,Sai/Jack,,Derrick Henry,TEN,RB
13,2.01,Sai/Jack,,A.J. Brown,PHI,WR
14,2.02,Mateen,Joel/Aryan,Tony Pollard,DAL,RB
15,2.03,Rohan/Mani,,Davante Adams,LV,WR
16,2.04,Rohan/Mani,Liam/Rushil,CeeDee Lamb,DAL,WR
17,2.05,Vib/Pranav,Deven/Krishna,Jonathan Taylor,IND,RB
18,2.06,Kruthik/Davis,,Josh Jacobs,LV,RB
19,2.07,Manav/Brian,Shray,Amon-Ra St. Brown,DET,WR
20,2.08,Shray,Manav/Brian,Garrett Wilson,NYJ,WR
21,2.09,Ani/Adrian,Shashaank/Rawad,Jaylen Waddle,MIA,WR
22,2.1,Mateen,,Najee Harris,PIT,RB
23,2.11,Shashaank/Rawad,Ani/Adrian,Travis Etienne Jr.,JAC,RB
24,2.12,Manav/Brian,Vib/Pranav,Rhamondre Stevenson,NE,RB
25,3.01,Deven/Krishna,Vib/Pranav; Deven/Krishna,Joe Mixon,CIN,RB
26,3.02,Ani/Adrian,,Patrick Mahomes II,KC,QB
27,3.03,Mateen,,Breece Hall,NYJ,RB
28,3.04,Shashaank/Rawad,,Chris Olave,NO,WR
29,3.05,Deven/Krishna,Manav/Brian,Jahmyr Gibbs,DET,RB
30,3.06,Liam/Rushil,Shray,Tee Higgins,CIN,WR
31,3.07,Kruthik/Davis,,Aaron Jones,GB,RB
32,3.08,Vib/Pranav,Deven/Krishna,Calvin Ridley,JAC,WR
33,3.09,Shray,Liam/Rushil,DeVonta Smith,PHI,WR
34,3.1,Rohan/Mani,,Mark Andrews,BAL,TE
35,3.11,Mateen,Joel/Aryan,Josh Allen,BUF,QB
36,3.12,Sai/Jack,,DK Metcalf,SEA,WR
37,4.01,Sai/Jack,,Dameon Pierce,HOU,RB
38,4.02,Mateen,Joel/Aryan,Keenan Allen,LAC,WR
39,4.03,Rohan/Mani,,Kenneth Walker III,SEA,RB
